"customer_id","monthly_charges","contract","internet_type","payment_method","online_security","premium_tech_support","paperless_billing"
"9495-SKLKD","95.95","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"4647-MUZON","95.95","Month-to-Month","Fiber Optic","Credit Card","No","No","Yes"
"4989-LIXVT","95.90","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"7426-RHZGU","95.90","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"1393-IMKZG","95.85","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"6212-ATMLK","95.70","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"7011-CVEUC","95.70","Month-to-Month","Fiber Optic","Credit Card","No","Yes","Yes"
"2507-QZPQS","95.70","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","No"
"2279-AXJJK","95.65","Month-to-Month","Fiber Optic","Credit Card","No","Yes","Yes"
"3853-LYGAM","95.65","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"3320-VEOYC","95.60","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"3597-MVHJT","95.60","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"4690-PKDQG","95.55","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"5302-BDJNT","95.50","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","No"
"0564-MUUQK","95.50","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"0701-RFGFI","95.40","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"2984-AFWNC","95.40","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","No"
"9279-CJEOJ","95.40","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"0396-YCHWO","95.40","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"2386-OWURY","95.30","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"9921-EZKBY","95.30","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","Yes"
"8421-WZOOW","95.30","Month-to-Month","Fiber Optic","Credit Card","No","Yes","Yes"
"2824-MYYBN","95.25","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"5982-FPVQN","95.15","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"3003-CMDUU","95.15","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"5183-SNMJQ","95.10","Month-to-Month","Fiber Optic","Credit Card","No","Yes","Yes"
"6075-SLNIL","95.10","Month-to-Month","Fiber Optic","Credit Card","No","No","Yes"
"5382-SOYZL","95.10","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"2823-LKABH","95.05","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"5119-KEPFY","95.00","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"2105-PHWON","95.00","Month-to-Month","Fiber Optic","Credit Card","No","Yes","Yes"
"1194-HVAIF","95.00","Month-to-Month","Fiber Optic","Credit Card","No","No","No"
"4391-LNRXK","94.95","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"2359-KLTEK","94.90","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"7398-SKNQZ","94.90","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","No"
"7982-VCELR","94.80","Month-to-Month","Fiber Optic","Credit Card","No","No","Yes"
"0060-FUALY","94.75","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","Yes"
"5168-MSWXT","94.75","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"3096-GKWEB","94.75","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"1472-TNCWL","94.70","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"0848-ZGQIJ","94.65","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"0129-KPTWJ","94.65","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"4070-OKWVH","94.60","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","No"
"9058-MJLZC","94.60","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","Yes"
"5439-WIKXB","94.55","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"3338-CVVEH","94.55","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","No"
"9699-UBQFS","94.50","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","Yes"
"5899-OUVKV","94.50","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"7271-AJDTL","94.45","Month-to-Month","Fiber Optic","Credit Card","No","No","Yes"
"2267-FPIMA","94.40","Month-to-Month","Fiber Optic","Credit Card","Yes","No","Yes"
"2347-WKKAE","94.40","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","Yes"
"5274-XHAKY","94.30","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","Yes"
"9919-KNPOO","94.30","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"0730-KOAVE","94.30","Month-to-Month","Fiber Optic","Credit Card","Yes","No","Yes"
"0082-OQIQY","94.20","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"9093-FPDLG","94.20","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"1346-PJWTK","94.15","Month-to-Month","Fiber Optic","Credit Card","No","Yes","No"
"8161-QYMTT","94.10","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"9360-OMDZZ","94.10","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"4760-THGOT","94.10","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","Yes"
"5334-JLAXU","94.10","Month-to-Month","Fiber Optic","Credit Card","Yes","No","Yes"
"6137-NICCO","94.05","Month-to-Month","Fiber Optic","Credit Card","No","No","Yes"
"8087-LGYHQ","94.05","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"2267-WTPYD","94.00","Month-to-Month","Fiber Optic","Credit Card","No","No","No"
"6833-JMZYP","94.00","Month-to-Month","Fiber Optic","Credit Card","No","No","Yes"
"5002-GCQFH","93.85","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","Yes"
"3062-ICYZQ","93.80","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","Yes"
"0376-OIWME","93.60","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","Yes"
"2985-FMWYF","93.50","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"1685-BQULA","93.40","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"6578-KRMAW","93.40","Month-to-Month","Fiber Optic","Credit Card","Yes","No","Yes"
"6300-BWMJX","93.35","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","No"
"7422-WNBTY","93.35","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"1485-YDHMM","93.25","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"3144-KMTWZ","93.25","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"5482-VXSXJ","93.20","Month-to-Month","Fiber Optic","Credit Card","No","No","Yes"
"2371-JQHZZ","93.00","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"0943-ZQPXH","92.95","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"7483-IQWIB","92.95","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"6986-IXNDM","92.90","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"1930-WNXSB","92.85","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"2074-GUHPQ","92.70","Month-to-Month","Fiber Optic","Credit Card","No","Yes","Yes"
"6198-RTPMF","92.60","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","No"
"5977-CKHON","92.55","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"3162-ZJZFU","92.55","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"3466-RITXD","92.40","Month-to-Month","Fiber Optic","Credit Card","Yes","No","Yes"
"4879-GZLFH","92.15","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"3318-NMQXL","92.00","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"2974-GGUXS","91.95","Month-to-Month","Fiber Optic","Credit Card","No","No","Yes"
"0595-ITUDF","91.80","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","Yes"
"3717-LNXKW","91.70","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","No"
"5712-AHQNN","91.65","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"4583-PARNH","91.55","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"4001-TSBTV","91.55","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"6745-JEFZB","91.50","Month-to-Month","Fiber Optic","Credit Card","No","Yes","Yes"
"4927-WWOOZ","91.45","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"8849-AYPTR","91.25","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","No"
"0365-TRTPY","91.20","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","No"
"5091-HFAZW","91.15","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","Yes"
"9576-SYUHJ","91.15","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","Yes"
"6818-DJXAA","91.10","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"5222-IMUKT","91.05","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","No"
"2378-HTWFW","91.00","Month-to-Month","Fiber Optic","Credit Card","Yes","No","No"
"5213-TWWJU","91.00","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","No"
"1379-FRVEB","91.00","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"8563-OYMQY","90.95","Month-to-Month","Fiber Optic","Credit Card","No","No","Yes"
"0112-QAWRZ","90.80","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"8189-HBVRW","90.80","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","No"
"4137-BTIKL","90.75","Month-to-Month","Fiber Optic","Credit Card","Yes","No","No"
"8622-ZLFKO","90.75","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"6794-HKIAJ","90.70","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","No"
"0432-CAJZV","90.70","Month-to-Month","Fiber Optic","Credit Card","No","No","No"
"0577-WHMEV","90.70","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","No"
"3771-PZOBW","90.70","Month-to-Month","Fiber Optic","Credit Card","No","No","Yes"
"6908-VVYHM","90.65","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"2495-KZNFB","90.65","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","Yes"
"5339-PXDVH","90.65","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","No"
"7928-VJYAB","90.60","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","No"
"1020-JPQOW","90.55","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","No"
"8782-LKFPK","90.40","Month-to-Month","Fiber Optic","Credit Card","No","No","Yes"
"7449-HVPIV","90.40","Month-to-Month","Fiber Optic","Credit Card","No","No","Yes"
"5131-PONJI","90.40","Month-to-Month","Fiber Optic","Credit Card","No","No","Yes"
"8266-VBFQL","90.40","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"0258-NOKBL","90.40","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","No"
"9469-WEJBT","90.35","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"0139-IVFJG","90.35","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","No"
"8212-DJRCH","90.35","Month-to-Month","Fiber Optic","Credit Card","Yes","No","Yes"
"4813-HQMGZ","90.25","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"9921-QFQUL","90.15","Month-to-Month","Fiber Optic","Credit Card","No","No","No"
"1173-NOEYG","90.15","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","No"
"1941-HOSAM","90.10","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"6969-MVBAI","90.10","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"3154-CFSZG","90.05","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","No"
"4183-MYFRB","90.05","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"3161-GETRM","90.05","Month-to-Month","Fiber Optic","Credit Card","No","No","Yes"
"2322-VCZHZ","90.00","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","Yes"
"2139-FQHLM","89.95","Month-to-Month","Fiber Optic","Credit Card","No","Yes","No"
"4811-JBUVU","89.90","Month-to-Month","Fiber Optic","Credit Card","No","Yes","Yes"
"8751-EDEKA","89.90","Month-to-Month","Fiber Optic","Credit Card","No","No","No"
"1215-FIGMP","89.90","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"7682-AZNDK","89.85","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"3071-VBYPO","89.85","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","No"
"7952-OBOYL","89.85","Month-to-Month","Fiber Optic","Credit Card","No","Yes","Yes"
"5886-VLQVU","89.85","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"0058-EVZWM","89.80","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","Yes"
"4462-CYWMH","89.80","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"4402-FTBXC","89.80","Month-to-Month","Fiber Optic","Credit Card","Yes","No","No"
"3462-BJQQA","89.75","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"1754-GKYPY","89.75","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
